Common name,Species,Year,Startyear,Endyear,Location,Latitude,Longitude,Breeding status,Age Group,Prey.type,Prey.species,FoO,Num Freq,Freq Biomass,Prey size,SD,Sample.size,Sample.type,Source,Reference,Notes
Atlantic puffin,Fratercula arctica,1976,1976,1976,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.08,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1977,1977,1977,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.25,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1977,1977,1977,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.07,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1977,1977,1977,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.32,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1977,1977,1977,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.67,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1977,1977,1977,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1978,1978,1978,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.34,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1978,1978,1978,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.11,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1978,1978,1978,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.45,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1978,1978,1978,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.53,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
