id,pred_common_name,pred_species,year,startyear,endyear,multiyear,location,latitude,longitude,pred_breeding_status,pred_age_group,prey_orig_descr,prey_taxon,freq_occ,freq_num,freq_biomass,prey_size,sample_size,sample_type,source,notes,prey_age_group,pred_rank,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_rank,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,ref_n,ref_ids
22,Atlantic puffin,Fratercula arctica,1975,1975,1975,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,117,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF028
23,Atlantic puffin,Fratercula arctica,1975,1975,1975,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,117,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF028
24,Atlantic puffin,Fratercula arctica,1975,1975,1975,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0.103,NA,NA,NA,117,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF028
25,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.939,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF028
26,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0.028,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF028
27,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,haddock,Melanogrammus aeglefinus,0,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126437,Melanogrammus aeglefinus,126437,1,REF028
28,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF028
29,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF028
30,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0.033,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF028
31,Atlantic puffin,Fratercula arctica,1976,1976,1976,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0,NA,NA,NA,212,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF028
32,Atlantic puffin,Fratercula arctica,1977,1977,1977,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.94,NA,NA,NA,277,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF029
33,Atlantic puffin,Fratercula arctica,1977,1977,1977,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0.01,NA,NA,NA,277,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF029
34,Atlantic puffin,Fratercula arctica,1977,1977,1977,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0.01,NA,NA,NA,277,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF029
35,Atlantic puffin,Fratercula arctica,1977,1977,1977,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,277,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF029
36,Atlantic puffin,Fratercula arctica,1977,1977,1977,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0.04,NA,NA,NA,277,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF029
37,Atlantic puffin,Fratercula arctica,1986,1986,1986,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.96,NA,NA,NA,44,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF029
38,Atlantic puffin,Fratercula arctica,1986,1986,1986,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0.02,NA,NA,NA,44,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF029
39,Atlantic puffin,Fratercula arctica,1986,1986,1986,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0.02,NA,NA,NA,44,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF029
40,Atlantic puffin,Fratercula arctica,1986,1986,1986,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,44,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF029
41,Atlantic puffin,Fratercula arctica,1986,1986,1986,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0,NA,NA,NA,44,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF029
42,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.9,NA,NA,NA,32,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF029
43,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,1,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
44,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
45,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
46,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0,NA,NA,NA,32,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF029
47,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0,NA,NA,NA,32,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF029
48,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
49,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
50,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,32,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF029
51,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0,NA,NA,NA,32,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF029
52,Atlantic puffin,Fratercula arctica,1987,1987,1987,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,27,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
53,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.42,NA,NA,NA,159,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF029
54,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.423,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
55,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0.05,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
56,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.521,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
